"id";"parent_id:id";"code";"name";"type";;;;"le";"description"
"kp_rrif_0394";"kp_rrif_039";"0394";"Akumulirana amortiz. poljoprivredne opreme";"view";4;;;42;
"kp_rrif_0395";"kp_rrif_039";"0395";"Akumulirana amortiz. 30% pretporeza od osob. automobila";"view";4;;;55;
"kp_rrif_0396";"kp_rrif_039";"0396";"Akumulirana amortiz. 30% i 100% pretporeza od osob. automobila (n. v. veæe od 400.000,00 kn)";"view";4;;;92;
"kp_rrif_0397";"kp_rrif_039";"0397";"Akumulirana amortiz. 30% od pretporeza od brodova, jahti i dr. sred. za osobni prijevoz";"view";4;;;87;
"kp_rrif_0398";"kp_rrif_039";"0398";"Akum. amortiz.30% i 100% pretporeza od brodova, jahti i dr. sred. za os. prijevoz(NV preko 400000,00kn)";"view";4;;;103;"Akumulirana amortiz. 30% i 100% pretporeza od brodova, jahti i dr. sred. za osobni prijevoz (n. v. veæe od 400.000,00 kn)"
"kp_rrif_04";"kp_rrif_0";"04";"BIOLOŠKA IMOVINA";"view";2;;;16;
"kp_rrif_040";"kp_rrif_04";"040";"Biološka imovina - bilje - višegodišnji nasadi";"view";3;;;46;
"kp_rrif_0400";"kp_rrif_040";"0400";"Voænjaci";"view";4;;;8;
"kp_rrif_0401";"kp_rrif_040";"0401";"Vinogradi";"view";4;;;9;
"kp_rrif_0402";"kp_rrif_040";"0402";"Maslinici";"view";4;;;9;
"kp_rrif_0403";"kp_rrif_040";"0403";"Plantaže drveæa i bilja (šume)";"view";4;;;30;
"kp_rrif_0404";"kp_rrif_040";"0404";"Parkovi, zelenila, nasadi i cvijeæe";"view";4;;;35;
"kp_rrif_0405";"kp_rrif_040";"0405";"Ulaganja u ostale višegodišnje nasade";"view";4;;;37;
"kp_rrif_041";"kp_rrif_04";"041";"Biološka imovina - životinje - osnovno stado";"view";3;;;44;
"kp_rrif_0410";"kp_rrif_041";"0410";"Goveda";"view";4;;;6;
"kp_rrif_0411";"kp_rrif_041";"0411";"Konji";"view";4;;;5;
"kp_rrif_0412";"kp_rrif_041";"0412";"Mazge, magarci i mule";"view";4;;;21;
"kp_rrif_0413";"kp_rrif_041";"0413";"Svinje";"view";4;;;6;
"kp_rrif_0414";"kp_rrif_041";"0414";"Ovce i koze";"view";4;;;11;
"kp_rrif_0415";"kp_rrif_041";"0415";"Perad";"view";4;;;5;
"kp_rrif_0416";"kp_rrif_041";"0416";"Ribe";"view";4;;;4;
"kp_rrif_0417";"kp_rrif_041";"0417";"Pèelinja društva";"view";4;;;16;
"kp_rrif_0418";"kp_rrif_041";"0418";"Stado kuniæa, nutrija (za rasplod)";"view";4;;;34;
"kp_rrif_0419";"kp_rrif_041";"0419";"Ostale nespomenute životinje (psi, ptice i dr.)";"view";4;;;47;
"kp_rrif_046";"kp_rrif_04";"046";"Predujmovi za biološku imovinu";"view";3;;;30;
"kp_rrif_0460";"kp_rrif_046";"0460";"Predujmovi za višegodišnje nasade";"view";4;;;33;
"kp_rrif_0461";"kp_rrif_046";"0461";"Predujmovi na nabavu životinja";"view";4;;;30;
"kp_rrif_047";"kp_rrif_04";"047";"Biološka imovina u pripremi";"view";3;;;27;
"kp_rrif_0470";"kp_rrif_047";"0470";"Višegodišnji nasadi u pripremi";"view";4;;;30;
"kp_rrif_0471";"kp_rrif_047";"0471";"Životinje (osnovno stado) u nabavi";"view";4;;;34;
"kp_rrif_048";"kp_rrif_04";"048";"Vrijednosno usklaðenje biološke imovine";"view";3;;;39;
"kp_rrif_0480";"kp_rrif_048";"0480";"Vrijednosno usklaðenje višegodišnjih nasada";"view";4;;;43;
"kp_rrif_0481";"kp_rrif_048";"0481";"Vrijednosno usklaðenje životinja (osnovnog stada)";"view";4;;;49;
"kp_rrif_049";"kp_rrif_04";"049";"Akumulirana amortizacija biološke imovine";"view";3;;;41;
"kp_rrif_0490";"kp_rrif_049";"0490";"Akumulirana amortiz. višegodišnjih nasada";"view";4;;;41;
"kp_rrif_0491";"kp_rrif_049";"0491";"Akumulirana amortiz. životinja (osnovnog stada)";"view";4;;;47;
"kp_rrif_05";"kp_rrif_0";"05";"ULAGANJA U NEKRETNINE";"view";2;;;21;
"kp_rrif_050";"kp_rrif_05";"050";"Ulaganja u nekretnine - zemljišta";"view";3;;;33;
